date,RUB=X,GC=F,CNY=X,CL=F,ES=F
2022-03-02,108.47949981689453,1920.9000244140625,6.311500072479248,110.5999984741211,4381.75
2022-03-03,102.71499633789062,1934.4000244140625,6.3196001052856445,107.66999816894531,4359.25
2022-03-04,109.46499633789062,1965.0999755859375,6.319200038909912,115.68000030517578,4327.25
2022-03-07,108.84510040283203,1993.9000244140625,6.316699981689453,119.4000015258789,4198.5
2022-03-08,138.96510314941406,2040.0999755859375,6.319300174713135,123.69999694824219,4168.75
2022-03-09,129.96499633789062,1985.9000244140625,6.317599773406982,108.69999694824219,4275.25
2022-03-10,138.71499633789062,1998.0999755859375,6.3165998458862305,106.0199966430664,4257.25
2022-03-11,133.46499633789062,1982.699951171875,6.320799827575684,109.33000183105469,4201.5
2022-03-14,132.0886993408203,1959.5999755859375,6.338699817657471,103.01000213623047,4172.0
2022-03-15,119.96499633789062,1928.5,6.364500045776367,96.44000244140625,4262.0
2022-03-16,108.27749633789062,1908.0,6.369100093841553,95.04000091552734,4358.0
2022-03-17,100.96510314941406,1942.0999755859375,6.351200103759766,102.9800033569336,4410.25
2022-03-18,103.08999633789062,1928.199951171875,6.3454999923706055,104.69999694824219,4409.35009765625
2022-03-21,132.0886993408203,1928.5999755859375,6.360199928283691,112.12000274658203,4452.25
2022-03-22,106.61499786376953,1920.699951171875,6.354499816894531,111.76000213623047,4505.0
2022-03-23,105.96499633789062,1936.5999755859375,6.365300178527832,114.93000030517578,4447.5
2022-03-24,96.71499633789062,1961.5999755859375,6.371300220489502,112.33999633789062,4512.5
2022-03-25,102.21499633789062,1953.800048828125,6.366300106048584,113.9000015258789,4536.5
2022-03-27,100.83999633789062,,6.365200042724609,,
2022-03-28,97.96510314941406,1939.5999755859375,6.370699882507324,105.95999908447266,4568.0
2022-03-29,87.46499633789062,1912.0,6.363100051879883,104.23999786376953,4625.5
2022-03-30,83.46499633789062,1933.5,6.346199989318848,107.81999969482422,4596.0
2022-03-31,81.71499633789062,1949.199951171875,6.338900089263916,100.27999877929688,4530.75
2022-04-01,,1919.0999755859375,,99.2699966430664,4539.25
2022-04-03,84.21499633789062,,6.362100124359131,,
2022-04-04,83.71499633789062,1929.199951171875,6.362400054931641,103.27999877929688,4577.75
2022-04-05,83.96499633789062,1922.9000244140625,6.363100051879883,101.95999908447266,4520.25
2022-04-06,82.08999633789062,1918.4000244140625,6.358500003814697,96.2300033569336,4475.75
2022-04-07,79.21499633789062,1933.800048828125,6.3597002029418945,96.02999877929688,4496.25
2022-04-08,,1941.5999755859375,,98.26000213623047,4483.5
2022-04-10,85.08999633789062,,6.363999843597412,,
2022-04-11,83.46499633789062,1944.300048828125,6.36870002746582,94.29000091552734,4409.0
2022-04-12,85.33999633789062,1972.0999755859375,6.364999771118164,100.5999984741211,4393.0
2022-04-13,82.38999938964844,1981.0,6.367199897766113,104.25,4442.25
2022-04-14,82.58999633789062,1970.9000244140625,6.377399921417236,106.94999694824219,4387.5
2022-04-17,80.71499633789062,,6.370200157165527,,
2022-04-18,81.08999633789062,1982.9000244140625,6.366199970245361,108.20999908447266,4386.75
2022-04-19,80.96499633789062,1955.699951171875,6.392399787902832,102.55999755859375,4459.25
2022-04-20,82.73999786376953,1952.300048828125,6.417699813842773,102.75,4455.5
2022-04-21,80.83999633789062,1944.9000244140625,6.4492998123168945,103.79000091552734,4390.5
2022-04-22,,1931.0,,102.06999969482422,4267.25
2022-04-24,77.33999633789062,,6.50029993057251,,
2022-04-25,75.73999786376953,1893.199951171875,6.5578999519348145,98.54000091552734,4292.75
2022-04-26,74.21499633789062,1901.4000244140625,6.556300163269043,101.69999694824219,4170.5
2022-04-27,73.83999633789062,1885.9000244140625,6.559500217437744,102.0199966430664,4180.25
2022-04-28,72.71499633789062,1888.699951171875,6.62529993057251,105.36000061035156,4283.5
2022-04-29,,1909.300048828125,,104.69000244140625,4127.5
2022-05-01,73.31500244140625,,6.607500076293945,,
2022-05-02,70.56500244140625,1861.800048828125,6.607500076293945,105.16999816894531,4151.0
2022-05-03,67.21489715576172,1868.800048828125,6.607399940490723,102.41000366210938,4169.25
2022-05-04,66.96499633789062,1867.0,6.607500076293945,107.80999755859375,4295.25
2022-05-05,64.79000091552734,1874.0,6.654600143432617,108.26000213623047,4143.25
2022-05-06,,1881.199951171875,,109.7699966430664,4119.5
2022-05-08,68.96499633789062,,6.665599822998047,,
2022-05-09,69.83999633789062,1857.0999755859375,6.729800224304199,103.08999633789062,3987.5
2022-05-10,69.83999633789062,1839.9000244140625,6.73360013961792,99.76000213623047,3996.75
2022-05-11,66.71499633789062,1852.5999755859375,6.720699787139893,105.70999908447266,3930.25
2022-05-12,65.08999633789062,1823.800048828125,6.785900115966797,106.12999725341797,3927.25
2022-05-13,,1807.4000244140625,,110.48999786376953,4019.75
2022-05-15,66.46499633789062,,6.788000106811523,,
2022-05-16,64.58999633789062,1813.5,6.785099983215332,114.19999694824219,4004.75
2022-05-17,64.96499633789062,1818.199951171875,6.736199855804443,112.4000015258789,4084.75
2022-05-18,64.21499633789062,1815.9000244140625,6.753399848937988,109.58999633789062,3922.75
2022-05-19,62.09000015258789,1841.199951171875,6.712100028991699,112.20999908447266,3897.75
2022-05-20,,1841.800048828125,,113.2300033569336,3899.5
2022-05-22,62.46500015258789,,6.691999912261963,,
2022-05-23,58.540000915527344,1847.800048828125,6.649799823760986,110.29000091552734,3971.75
2022-05-24,57.089900970458984,1865.0999755859375,6.6529998779296875,109.7699966430664,3940.5
